outcome,control_group,variable,estimate,std_error,t_value,p_value,ci_2_5,ci_97_5,n_obs
log1p_backward_cites,broad_noncore,ai_core,-0.41926176891102923,0.13545012078291177,-3.0953222225839667,0.002583406616370132,-0.6881642571207457,-0.15035928070131277,140914
log1p_backward_cites,broad_noncore,ai_x_post,-0.03846659111339693,0.018016029789856784,-2.1351314114197364,0.03532284958228282,-0.07423293233296156,-0.0027002498938323016,140914
log1p_backward_cites,broad_noncore,post2018,,,,,,,140914
log1p_backward_cites,software,ai_core,-0.41926176891102923,0.13545012078291177,-3.0953222225839667,0.002583406616370132,-0.6881642571207457,-0.15035928070131277,140914
log1p_backward_cites,software,ai_x_post,-0.03846659111339693,0.018016029789856784,-2.1351314114197364,0.03532284958228282,-0.07423293233296156,-0.0027002498938323016,140914
log1p_backward_cites,software,post2018,,,,,,,140914
log1p_forward_cites,all,ai_core,0.3543662120156346,0.0795257332122557,4.455994276341023,9.928151128324458e-06,0.19819028129587624,0.510542142735393,1415812
log1p_forward_cites,all,ai_x_post,-0.21563989692711052,0.008650448415762079,-24.9281755769089,0.0,-0.23262800603223602,-0.19865178782198503,1415812
log1p_forward_cites,all,post2018,,,,,,,1415812
log1p_forward_cites,broad_noncore,ai_core,0.3439202121313912,0.08699562001098575,3.9533049145228363,0.0001482976091771171,0.17121207020367762,0.5166283540591048,140914
log1p_forward_cites,broad_noncore,ai_x_post,-0.19436490155120167,0.03865593575170442,-5.0280738978781985,2.3312442956058277e-06,-0.2711066367938596,-0.11762316630854372,140914
log1p_forward_cites,broad_noncore,post2018,,,,,,,140914
log1p_forward_cites,software,ai_core,0.3439202121313912,0.08699562001098575,3.9533049145228363,0.0001482976091771171,0.17121207020367762,0.5166283540591048,140914
log1p_forward_cites,software,ai_x_post,-0.19436490155120167,0.03865593575170442,-5.0280738978781985,2.3312442956058277e-06,-0.2711066367938596,-0.11762316630854372,140914
log1p_forward_cites,software,post2018,,,,,,,140914
log1p_grant_delay_days,all,ai_core,-0.32380979522535214,0.09718376726616643,-3.331932938332216,0.0009148477983984549,-0.5146670371470855,-0.13295255330361877,923929
log1p_grant_delay_days,all,ai_x_post,0.04850211588349369,0.007285857080772051,6.657022687350619,6.258815687942842e-11,0.03419356799952836,0.06281066376745903,923929
log1p_grant_delay_days,all,post2018,,,,,,,923929
log1p_grant_delay_days,broad_noncore,ai_core,-0.3111667495405662,0.08969616961168086,-3.4691197058658334,0.0007931026644636407,-0.4892855658953128,-0.13304793318581964,92683
log1p_grant_delay_days,broad_noncore,ai_x_post,0.0499036740515006,0.0077016744146523606,6.479587601958263,4.332051606326104e-09,0.03460967502538313,0.06519767307761806,92683
log1p_grant_delay_days,broad_noncore,post2018,,,,,,,92683
log1p_grant_delay_days,software,ai_core,-0.3111667495405662,0.08969616961168086,-3.4691197058658334,0.0007931026644636407,-0.4892855658953128,-0.13304793318581964,92683
log1p_grant_delay_days,software,ai_x_post,0.0499036740515006,0.0077016744146523606,6.479587601958263,4.332051606326104e-09,0.03460967502538313,0.06519767307761806,92683
log1p_grant_delay_days,software,post2018,,,,,,,92683
log1p_inventor_count,all,ai_core,0.15506226058473627,0.0631564545705709,2.4552084444745073,0.014356930322282357,0.03103299766435387,0.2790915235051187,1415812
log1p_inventor_count,all,ai_x_post,0.032963360746861806,0.0041848512442818975,7.876829742013489,1.532107773982716e-14,0.024744976437784574,0.04118174505593904,1415812
log1p_inventor_count,all,post2018,,,,,,,1415812
log1p_inventor_count,broad_noncore,ai_core,0.1835568296144087,0.047578656068331886,3.8579658355794373,0.00020823130496228082,0.08910125490913424,0.27801240431968316,140914
log1p_inventor_count,broad_noncore,ai_x_post,0.03811799393285866,0.004452229878530712,8.561551171620556,1.949551631241775e-13,0.029279200098651967,0.046956787767065356,140914
log1p_inventor_count,broad_noncore,post2018,,,,,,,140914
log1p_inventor_count,software,ai_core,0.1835568296144087,0.047578656068331886,3.8579658355794373,0.00020823130496228082,0.08910125490913424,0.27801240431968316,140914
log1p_inventor_count,software,ai_x_post,0.03811799393285866,0.004452229878530712,8.561551171620556,1.949551631241775e-13,0.029279200098651967,0.046956787767065356,140914
log1p_inventor_count,software,post2018,,,,,,,140914
log1p_reject_cites,all,ai_core,-0.46356151717966176,0.09723147405952841,-4.7676076256527145,2.3312645536233134e-06,-0.6545087155660163,-0.2726143187933072,1415812
